Timestamp,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-01T14:56:26.8433870,-0.3612274,1.631812,0.3979939,5.92991,175.5499,357.4503,-1.35,-0.006,0.584,-1.516607E-21,180,0,-1.35,-0.006,0.584,0,180,0,,FrontWall
2019-08-01T14:56:27.2822770,-0.3612274,1.631812,0.3979939,5.92991,175.5499,357.4503,-0.4894038,1.24939,0.3778367,308.7733,93.99252,359.4515,-1.35,-0.006,0.584,0,180,0,,FrontWall
2019-08-01T14:56:29.1349880,-0.3610939,1.632056,0.3983949,5.918771,175.6523,357.5375,-0.0330255,1.075982,0.1103859,331.4137,87.36639,2.057355,-1.35,-0.006,0.584,0,180,0,,FrontWall
2019-08-01T14:56:29.2586580,-0.2745056,1.619105,0.3370824,18.92631,200.474,4.618282,0.1295679,1.096182,0.1058663,290.2607,169.199,241.8028,-0.1539663,1.199411,-0.01149207,0,180,0,,FrontWall
2019-08-01T14:56:29.2901050,-0.2739848,1.65101,0.2293061,3.741172,188.0357,3.554825,0.1295679,1.096182,0.1058663,298.3451,190.0748,222.482,-0.1636665,1.197009,-0.02347857,308.0183,312.3209,77.22089,,FrontWall
2019-08-01T14:56:29.3110340,-0.2715783,1.651525,0.2269672,3.786938,188.0425,3.563995,0.1295679,1.096182,0.1058663,300.4764,194.7175,217.1506,-0.1695354,1.196263,-0.03025359,309.6148,315.069,75.86954,,FrontWall
2019-08-01T14:56:29.3269910,-0.270842,1.651594,0.2264394,3.661396,188.0478,3.560825,0.1295679,1.096182,0.1058663,301.1303,196.2391,213.5234,-0.1760973,1.195564,-0.03721082,311.1125,317.1283,74.80304,,FrontWall
2019-08-01T14:56:29.3469380,-0.2704334,1.651435,0.2262785,3.651534,188.0252,3.535127,0.1295679,1.096182,0.1058663,300.8307,195.8432,213.1806,-0.18028,1.194034,-0.04219007,312.1089,318.1924,74.19052,,FrontWall
2019-08-01T14:56:29.3648920,-0.2702361,1.65138,0.2261853,3.647466,187.9962,3.557531,0.1295679,1.096182,0.1058663,300.1701,194.3107,213.376,-0.1869581,1.192308,-0.04987258,314.2645,320.3036,72.99274,,FrontWall
2019-08-01T14:56:29.3798500,-0.270007,1.651214,0.2262354,3.633812,187.9003,3.691927,0.1295679,1.096182,0.1058663,300.0461,194.6585,211.9079,-0.1910702,1.190599,-0.05546182,316.2932,322.2801,72.36721,,FrontWall
2019-08-01T14:56:29.4017950,-0.2698236,1.651126,0.2261677,3.609865,187.8515,3.763766,0.1295679,1.096182,0.1058663,299.093,196.1962,208.8562,-0.1987994,1.188772,-0.06619233,318.1428,323.86,73.05947,,FrontWall
2019-08-01T14:56:29.4257270,-0.2697619,1.650907,0.2263651,3.615303,187.735,3.87717,0.1295679,1.096182,0.1058663,298.8053,201.7244,200.9722,-0.2081598,1.18921,-0.07671732,319.2253,324.3059,73.87366,,FrontWall
2019-08-01T14:56:29.4446770,-0.2698785,1.650777,0.2267296,3.71957,187.6035,3.986506,0.1295679,1.096182,0.1058663,300.6185,204.3826,197.5051,-0.215108,1.191027,-0.08310086,321.7895,325.0948,74.9513,,FrontWall
2019-08-01T14:56:29.4706080,-0.2702605,1.650338,0.2266737,3.911477,187.5118,4.028028,0.1295679,1.096182,0.1058663,300.6117,201.3455,200.868,-0.2202148,1.194459,-0.08969015,324.1168,326.0981,75.32404,,FrontWall
2019-08-01T14:56:29.4925500,-0.2696444,1.650238,0.229119,4.132705,187.4185,4.000662,0.1295679,1.096182,0.1058663,297.8949,198.8598,202.5618,-0.2287815,1.195487,-0.1025275,325.8451,327.2638,75.98864,,FrontWall
2019-08-01T14:56:29.5095040,-0.2697895,1.649932,0.2299501,4.366775,187.2885,4.004521,0.1295679,1.096182,0.1058663,295.0909,195.9013,205.5531,-0.2337873,1.200198,-0.1077878,327.3244,327.834,77.80745,,FrontWall
2019-08-01T14:56:29.5274560,-0.2700915,1.6497,0.2308754,4.529641,187.14,3.995496,0.1295679,1.096182,0.1058663,293.0486,189.2224,213.5029,-0.2389512,1.204636,-0.1138865,328.5094,327.9375,79.53903,,FrontWall
2019-08-01T14:56:29.5493980,-0.2701247,1.649508,0.2321709,4.648127,187.0086,4.036679,0.1295679,1.096182,0.1058663,292.1116,184.2672,219.3212,-0.2464409,1.206635,-0.1252966,329.0627,328.6799,80.01724,,FrontWall
2019-08-01T14:56:29.5683460,-0.2701701,1.649355,0.2326608,4.724577,186.9503,4.053151,0.1295679,1.096182,0.1058663,291.2311,174.8288,230.3035,-0.247017,1.210271,-0.1258719,329.4894,329.7347,80.02612,,FrontWall
2019-08-01T14:56:29.5862990,-0.2703835,1.64909,0.234031,4.903837,186.8821,4.044666,0.1295679,1.096182,0.1058663,290.7012,172.4509,233.6409,-0.2538149,1.212058,-0.1364844,329.7856,330.1761,80.14948,,FrontWall
2019-08-01T14:56:29.6042520,-0.2707547,1.648586,0.2351622,5.031404,186.793,4.125618,0.1295679,1.096182,0.1058663,291.6974,177.9,228.5815,-0.2542547,1.215287,-0.1358764,330.5555,330.7418,80.83388,,FrontWall
2019-08-01T14:56:29.6222020,-0.2709852,1.648399,0.2357863,5.132215,186.7589,4.189137,0.1295679,1.096182,0.1058663,292.3543,180.3295,226.4419,-0.2611688,1.21615,-0.1446642,330.9463,330.813,81.38704,,FrontWall
2019-08-01T14:56:29.6381590,-0.2713233,1.648019,0.2374052,5.348056,186.703,4.20417,0.1295679,1.096182,0.1058663,293.6371,181.3329,225.802,-0.2646265,1.219793,-0.1462591,331.5298,331.1753,82.81432,,FrontWall
