Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-14T21:09:50.4885370,,,-0.1347456,0.03748702,0.1372771,341.7678,179.7856,0.9755306,-0.5695227,0.001083869,0.2655606,-1.516607E-21,0,0,-0.204955,0.009575542,0.2529123,0,0,0,,UMA,
2019-08-14T21:09:51.6123580,,,-0.1347458,0.03748186,0.137274,341.7671,179.7838,0.9759602,-0.5877689,-0.01400182,0.2450176,-1.516607E-21,0,0,-0.2043279,0.009911221,0.2512397,0,0,0,,UMA,
2019-08-14T21:09:51.7160800,,,-0.2176251,1.178997,0.1696203,39.63077,113.5996,331.1372,-0.5877556,-0.01397662,0.2446234,-1.516607E-21,0,0,-0.2047883,0.009643501,0.2510704,0,0,0,,Ground,
2019-08-14T21:09:51.7440050,,,-0.1692169,1.385174,0.3631096,61.74323,148.3157,312.8384,-0.587828,-0.01401067,0.2447652,-1.516607E-21,0,0,-0.2048159,0.009314815,0.2511637,0,0,0,,Hole,
2019-08-14T21:09:51.7629550,,,-0.1870562,1.419616,0.3611248,60.3634,148.6699,321.7408,-0.5878655,-0.01411567,0.2447412,-1.516607E-21,0,0,-0.20473,0.009580253,0.2511643,0,0,0,,Hole,
2019-08-14T21:09:51.7918770,,,-0.1948992,1.431358,0.3581461,58.77475,148.3129,326.0966,-0.587764,-0.01386597,0.2449236,-1.516607E-21,0,0,-0.204316,0.009741945,0.2513918,0,0,0,,Hole,
2019-08-14T21:09:51.8098290,,,-0.1997638,1.439286,0.3562654,57.4766,148.4467,328.9854,-0.5878553,-0.01394684,0.2449407,-1.516607E-21,0,0,-0.2044191,0.009470683,0.2512967,0,0,0,,Hole,
2019-08-14T21:09:51.8367610,,,-0.2044032,1.446721,0.3541771,56.47035,148.5834,331.4291,-0.5877728,-0.01394787,0.2447354,-1.516607E-21,0,0,-0.2044475,0.009621594,0.2510445,0,0,0,,Hole,
2019-08-14T21:09:51.8646820,,,-0.2097112,1.457386,0.3506951,56.12179,148.0797,333.1829,-0.5877451,-0.01391174,0.2446934,-1.516607E-21,0,0,-0.20454,0.009707121,0.2509297,0,0,0,,Hole,
2019-08-14T21:09:51.8926080,,,-0.2112764,1.464575,0.3476805,57.18133,147.5289,332.907,-0.5877158,-0.01396546,0.2443867,-1.516607E-21,0,0,-0.2044544,0.009269077,0.2509866,0,0,0,,Hole,
2019-08-14T21:09:51.9225280,,,-0.210566,1.471882,0.346103,57.48449,150.5948,335.9735,-0.587728,-0.01409015,0.2444403,-1.516607E-21,0,0,-0.2046065,0.009343456,0.2511637,0,0,0,,Hole,
2019-08-14T21:09:51.9454670,,,-0.2086322,1.474331,0.3471575,56.61016,153.6045,338.2912,-0.5878043,-0.01413629,0.2446891,-1.516607E-21,0,0,-0.204542,0.009621548,0.2513541,0,0,0,,Hole,
2019-08-14T21:09:51.9773810,,,-0.2048857,1.477461,0.3484841,55.90295,156.741,339.9846,-0.5875946,-0.01398395,0.2446626,-1.516607E-21,0,0,-0.2044199,0.009824449,0.2512665,0,0,0,,Hole,
2019-08-14T21:09:52.0043090,,,-0.2020968,1.479442,0.3500056,55.7429,158.2471,340.5147,-0.5874776,-0.01385356,0.2446725,-1.516607E-21,0,0,-0.2045178,0.009898992,0.2511768,0,0,0,,Hole,
2019-08-14T21:09:52.0332340,,,-0.1984841,1.482047,0.3524798,56.01416,159.2739,340.521,-0.5874627,-0.01381103,0.2446533,-1.516607E-21,0,0,-0.2043023,0.009730075,0.2512811,0,0,0,,Hole,
2019-08-14T21:09:52.0571680,,,-0.1966879,1.483037,0.3535373,56.98951,159.2236,340.1577,-0.5874537,-0.01385802,0.2448798,-1.516607E-21,0,0,-0.2042593,0.009773821,0.2514114,0,0,0,,Hole,
2019-08-14T21:09:52.0840950,,,-0.1951858,1.483265,0.354885,57.73447,158.4657,339.3405,-0.5874361,-0.01385137,0.2447043,-1.516607E-21,0,0,-0.2043617,0.009913318,0.2512428,0,0,0,,Hole,
2019-08-14T21:09:52.1120210,,,-0.1932964,1.482052,0.3574504,58.53998,157.3755,338.6988,-0.5876809,-0.01401475,0.2447397,-1.516607E-21,0,0,-0.204307,0.009499528,0.251277,0,0,0,,Hole,
2019-08-14T21:09:52.1359580,,,-0.1923103,1.480708,0.3593295,58.92276,156.7177,338.4586,-0.5877135,-0.01403398,0.2447182,-1.516607E-21,0,0,-0.2045662,0.009540798,0.2514611,0,0,0,,Hole,
2019-08-14T21:09:52.1678710,,,-0.1914244,1.47902,0.36096,60.2602,155.0019,337.5479,-0.5879947,-0.0142482,0.2447939,-1.516607E-21,0,0,-0.20472,0.009255858,0.2510533,0,0,0,,Hole,
2019-08-14T21:09:52.1923980,,,-0.1905425,1.478858,0.3613756,61.82622,154.3004,337.4782,-0.5875334,-0.01406704,0.2446994,-1.516607E-21,0,0,-0.2044199,0.009650007,0.2511714,0,0,0,,Hole,
2019-08-14T21:09:52.2223190,,,-0.1894792,1.47981,0.3611114,64.1372,153.469,337.4428,-0.5874525,-0.01405491,0.2442326,-1.516607E-21,0,0,-0.2045611,0.009586455,0.251106,0,0,0,,Hole,
2019-08-14T21:09:52.2462560,,,-0.188417,1.480383,0.3605329,65.42096,153.6152,337.658,-0.5874817,-0.01407296,0.2443844,-1.516607E-21,0,0,-0.2046618,0.009495592,0.2511927,0,0,0,,Hole,
2019-08-14T21:09:52.2731830,,,-0.1861722,1.480833,0.3596023,66.46929,155.479,339.0815,-0.5874178,-0.0139071,0.244714,-1.516607E-21,0,0,-0.2045649,0.009750875,0.2515149,0,0,0,,Hole,
2019-08-14T21:09:52.2901390,,,-0.1844584,1.48096,0.3594509,66.51466,157.1773,340.4305,-0.5872627,-0.01391491,0.2445694,-1.516607E-21,0,0,-0.2044479,0.009724166,0.2515514,0,0,0,,Hole,
2019-08-14T21:09:52.3160680,,,-0.178977,1.480533,0.3583844,65.09247,161.8787,343.9744,-0.5875226,-0.01418351,0.2444854,-1.516607E-21,0,0,-0.2044796,0.009493496,0.2513234,0,0,0,,Hole,
2019-08-14T21:09:52.3459880,,,-0.1718943,1.48147,0.3556002,63.74654,165.8264,347.0487,-0.5874617,-0.01408869,0.2445288,-1.516607E-21,0,0,-0.2043903,0.00949946,0.2514165,0,0,0,,Hole,
2019-08-14T21:09:52.3719200,,,-0.1664481,1.482719,0.3531418,62.7649,168.4512,349.4931,-0.5876974,-0.01372218,0.2445169,-1.516607E-21,0,0,-0.2043514,0.009792376,0.2513072,0,0,0,,Hole,
2019-08-14T21:09:52.4018420,,,-0.1584315,1.483961,0.3501335,60.69374,169.8531,350.6379,-0.587782,-0.01375793,0.2446808,-1.516607E-21,0,0,-0.2043499,0.009842187,0.2512881,0,0,0,,Hole,
2019-08-14T21:09:52.4257800,,,-0.1520928,1.484484,0.3483642,59.10685,170.1123,351.0297,-0.5875614,-0.0138503,0.2448052,-1.516607E-21,0,0,-0.2043678,0.009876575,0.2514441,0,0,0,,Hole,
2019-08-14T21:09:52.4497110,,,-0.1454681,1.484816,0.3463822,57.84869,169.6993,351.0171,-0.5877454,-0.01406896,0.2444696,-1.516607E-21,0,0,-0.2045182,0.009556171,0.2510495,0,0,0,,Hole,
2019-08-14T21:09:52.4796300,,,-0.1343815,1.485689,0.3438985,56.47601,168.0181,350.3998,-0.587907,-0.01406725,0.244417,-1.516607E-21,0,0,-0.2046172,0.009459816,0.2511506,0,0,0,,Hole,
2019-08-14T21:09:52.5055290,,,-0.1252529,1.485959,0.3426199,55.95411,167.6524,350.1015,-0.5876226,-0.01405527,0.2446184,-1.516607E-21,0,0,-0.204708,0.009408072,0.251205,0,0,0,,Hole,
2019-08-14T21:09:52.5364460,,,-0.1111484,1.486136,0.3418685,54.70564,166.9505,348.5815,-0.5875454,-0.01407638,0.2445714,-1.516607E-21,0,0,-0.2045891,0.009618118,0.2512817,0,0,0,,Hole,
2019-08-14T21:09:52.5603820,,,-0.1028602,1.487192,0.3420216,53.7014,165.2284,347.0179,-0.5876533,-0.01392651,0.244485,-1.516607E-21,0,0,-0.2045358,0.009666691,0.2512194,0,0,0,,Hole,
2019-08-14T21:09:52.6034320,,,-0.08182418,1.489784,0.341377,51.12671,158.0676,344.863,-0.5878477,-0.01403941,0.244684,-1.516607E-21,0,0,-0.2045527,0.009637184,0.2511464,0,0,0,,Hole,
2019-08-14T21:09:52.6303610,,,-0.07423246,1.490189,0.3398871,50.68338,157.1558,346.2745,-0.5877821,-0.01416403,0.2450598,-1.516607E-21,0,0,-0.2045885,0.009667926,0.251342,0,0,0,,Hole,
2019-08-14T21:09:52.6483140,,,-0.06699705,1.490426,0.3384462,49.53717,157.321,347.7213,-0.587625,-0.01405275,0.2447122,-1.516607E-21,0,0,-0.2044759,0.009755861,0.2511511,0,0,0,,Hole,
2019-08-14T21:09:52.6712510,,,-0.06082368,1.490237,0.3374074,47.34476,159.527,351.1704,-0.5877537,-0.01417218,0.2449502,-1.516607E-21,0,0,-0.2045401,0.009784438,0.2513223,0,0,0,,Hole,
2019-08-14T21:09:52.6931940,,,-0.05565584,1.492348,0.3366294,45.48805,159.8496,352.0732,-0.5877292,-0.01417033,0.2450134,-1.516607E-21,0,0,-0.2045587,0.00974967,0.2513348,0,0,0,,Hole,
2019-08-14T21:09:52.7181260,,,-0.05011427,1.493197,0.3362913,43.3049,161.705,353.0612,-0.587559,-0.01415784,0.2444672,-1.516607E-21,0,0,-0.2044608,0.009748511,0.2509744,0,0,0,,Hole,
2019-08-14T21:09:52.7370760,,,-0.04440808,1.49323,0.3355805,41.97647,164.0136,354.2747,-0.587634,-0.01420096,0.2448304,-1.516607E-21,0,0,-0.2013704,0.007947532,0.2519576,0,0,0,,LineAvatar,
2019-08-14T21:09:52.7610120,,,-0.03961253,1.494468,0.3346719,41.32493,165.9473,355.2918,-0.587448,-0.01406635,0.2449045,-1.516607E-21,0,0,-0.204303,0.009852391,0.2510642,0,0,0,,LineAvatar,
2019-08-14T21:09:52.7829520,,,-0.03614986,1.496718,0.3348441,40.31851,167.2253,356.3401,-0.5872464,-0.01398605,0.2446287,-1.516607E-21,0,0,-0.2043957,0.009996919,0.250981,0,0,0,,Ground,
2019-08-14T21:09:52.8048950,,,-0.03370929,1.500659,0.3338664,40.39524,166.9336,354.8416,-0.5871999,-0.0139528,0.2446762,-1.516607E-21,0,0,-0.2043715,0.0100305,0.2509857,0,0,0,,Ground,
2019-08-14T21:09:52.8268360,,,-0.03263295,1.5032,0.333264,39.2989,166.6088,353.4697,-0.5872427,-0.01410891,0.244618,-1.516607E-21,0,0,-0.204405,0.009839209,0.2509484,0,0,0,,Ground,
2019-08-14T21:09:52.8487780,,,-0.03192544,1.505177,0.3321865,38.62977,167.2365,353.6628,-0.5873557,-0.01433383,0.2447507,-1.516607E-21,0,0,-0.2046394,0.009635678,0.2509495,0,0,0,,Ground,
