Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-20T13:32:00.6935560,,,-0.2120935,1.699252,0.2995761,329.6021,157.0784,0.9866931,-0.2371755,1.011726,-0.1157503,-1.516607E-21,0,0,-0.06120133,0.953308,0.1806764,0,0,0,,Ceiling,
2019-08-20T13:32:03.5482000,,,-0.2114378,1.699234,0.3002667,329.5513,156.9073,1.020446,-0.2463562,0.9976354,-0.1117629,319.6953,180.3872,223.7471,-0.06603611,0.9451423,0.1729076,306.1349,164.968,88.15742,,Ceiling,
2019-08-20T13:32:03.7087260,,,-0.1767329,1.678422,0.2439736,349.8936,142.265,359.7034,-0.2442939,0.9984626,-0.1126932,319.3899,179.6549,224.3155,-0.06812799,0.942908,0.1745284,307.3027,166.524,88.65118,,LeftWall1,
2019-08-20T13:32:03.7739510,,,-0.149839,1.669126,0.2330682,358.602,135.3571,0.07838672,-0.2434933,0.9995311,-0.1123551,319.357,177.3755,226.1264,-0.06288147,0.9456264,0.1734268,306.3665,164.9885,90.50681,,WindowPlace2,
2019-08-20T13:32:03.8154960,,,-0.1485193,1.668924,0.2350072,359.194,135.9805,0.6736223,-0.2416309,1.000679,-0.1123399,320.0098,177.7781,226.047,-0.06187248,0.9451137,0.1731202,306.3681,166.0228,89.11153,,LeftWall1,
2019-08-20T13:32:03.8424240,,,-0.1485451,1.668214,0.2358737,359.0544,135.4687,1.183969,-0.2396462,1.001234,-0.1121431,319.8688,178.3369,225.4176,-0.06099594,0.943974,0.1729069,306.5017,167.0261,88.09224,,WindowPlace2,
2019-08-20T13:32:03.8703530,,,-0.1490643,1.667213,0.2359059,359.045,135.2439,1.214064,-0.2383027,1.000818,-0.1109547,319.7506,178.5967,225.0589,-0.06046045,0.9421121,0.1730627,306.5298,167.0179,88.07403,,WindowPlace2,
2019-08-20T13:32:03.8912940,,,-0.1493287,1.667765,0.2356101,359.0785,135.2339,1.209002,-0.2382755,1.000831,-0.1104362,319.5529,178.9422,224.6517,-0.06030762,0.9418682,0.1734472,306.586,166.6664,88.26881,,WindowPlace2,
2019-08-20T13:32:03.9162300,,,-0.1496325,1.6685,0.2352959,359.1232,135.3039,1.096447,-0.2387103,1.001103,-0.109095,319.5163,179.0737,224.5796,-0.06031775,0.9415048,0.1743066,306.6049,166.4009,88.42179,,WindowPlace2,
2019-08-20T13:32:03.9415950,,,-0.1500046,1.668738,0.2351064,359.2293,135.501,0.8560249,-0.2390546,1.001491,-0.1087154,319.5966,179.464,224.4282,-0.06148779,0.941599,0.1740416,306.7245,165.7959,88.88686,,WindowPlace2,
2019-08-20T13:32:03.9615450,,,-0.1504319,1.668503,0.2348647,359.3224,135.7866,0.6249745,-0.2396101,1.001712,-0.1093877,319.6535,179.5988,224.4731,-0.0625037,0.9417377,0.1739279,306.8853,165.3422,89.35291,,LeftWall1,
2019-08-20T13:32:03.9884690,,,-0.1511939,1.667843,0.2346845,359.4122,136.1291,0.4950325,-0.2403583,1.001646,-0.1104277,319.6006,179.5785,224.614,-0.06356263,0.9417019,0.1737897,306.9194,165.3037,89.51366,,LeftWall1,
2019-08-20T13:32:04.0104100,,,-0.1521366,1.66715,0.2341417,359.4698,136.7048,0.3493947,-0.2413539,1.001476,-0.1109329,319.3291,179.3866,224.8155,-0.06414974,0.9419885,0.1737765,306.9064,165.4491,89.68162,,LeftWall1,
2019-08-20T13:32:04.0364610,,,-0.1525679,1.6674,0.2336628,359.4421,137.1456,0.1572444,-0.2424904,1.001396,-0.1106916,319.1764,179.1438,224.9129,-0.06473184,0.9421769,0.1731846,306.8161,165.5685,89.75204,,LeftWall1,
2019-08-20T13:32:04.0564070,,,-0.1529405,1.66785,0.233214,359.4328,137.6648,359.8808,-0.2437955,1.001341,-0.1101467,319.1071,178.9724,224.9906,-0.0647589,0.9425801,0.1728636,306.7212,165.6975,89.83862,,LeftWall1,
2019-08-20T13:32:04.0808770,,,-0.1532466,1.668129,0.2327749,359.5464,138.2804,359.6066,-0.2450286,1.001504,-0.1100887,319.1034,178.8774,225.0938,-0.06501353,0.943179,0.172456,306.7281,165.9018,89.73568,,LeftWall1,
2019-08-20T13:32:04.1049290,,,-0.153592,1.668032,0.2322368,359.7049,138.9167,359.4647,-0.2460911,1.001532,-0.110444,319.1478,178.8658,225.1978,-0.06548023,0.9436086,0.1718776,306.7288,166.2794,89.47186,,LeftWall1,
2019-08-20T13:32:04.1298630,,,-0.1539533,1.66769,0.2318905,359.7986,139.5289,359.4744,-0.2470723,1.001315,-0.1110711,319.2026,178.8985,225.2621,-0.06605601,0.9440047,0.171548,306.7567,166.7184,89.1478,,LeftWall1,
2019-08-20T13:32:04.1545890,,,-0.1543344,1.667372,0.2314473,359.8065,140.1433,359.5016,-0.2471397,1.001071,-0.1112401,319.2248,178.9098,225.3188,-0.06613994,0.9439557,0.1717179,306.6888,167.4348,88.59132,,LeftWall1,
2019-08-20T13:32:04.1770580,,,-0.1549807,1.666797,0.2306806,359.7332,141.1783,359.5881,-0.2470434,1.000725,-0.111432,319.2039,178.7778,225.4224,-0.06573808,0.9439161,0.1718114,306.6553,167.7053,88.37475,,LeftWall1,
2019-08-20T13:32:04.2015270,,,-0.1556334,1.6664,0.2304832,359.8318,141.8088,359.6708,-0.2464098,1.000791,-0.1111467,319.1787,178.5677,225.5218,-0.06553435,0.9437696,0.1718005,306.5928,167.8402,88.28987,,LeftWall1,
2019-08-20T13:32:04.2244650,,,-0.1561956,1.665909,0.2302632,359.9472,142.3462,359.7817,-0.2455696,1.000912,-0.1110006,319.1693,178.3987,225.6011,-0.06481791,0.9435974,0.171789,306.5207,167.7899,88.32058,,LeftWall1,
2019-08-20T13:32:04.2474890,,,-0.1568285,1.665559,0.2301682,359.9802,142.8309,359.9045,-0.2447862,1.001025,-0.1106186,319.1832,178.354,225.5971,-0.06434464,0.943099,0.1716093,306.5025,167.7688,88.28765,,LeftWall1,
2019-08-20T13:32:04.2734270,,,-0.1577026,1.665333,0.2298618,0.04754642,143.287,359.9289,-0.2436845,1.001106,-0.1103266,319.199,178.5452,225.3622,-0.06363153,0.9423948,0.1716123,306.5227,167.7048,88.31076,,LeftWall1,
2019-08-20T13:32:04.2933690,,,-0.158432,1.665459,0.2296475,0.1235187,143.706,359.8143,-0.2433066,1.001282,-0.1099466,319.1674,178.7469,225.1932,-0.0634501,0.9420665,0.1716166,306.5748,167.6385,88.32629,,WindowPlace3,
2019-08-20T13:32:04.3222910,,,-0.159197,1.666245,0.2294461,0.08850084,144.0453,359.6549,-0.2429165,1.002616,-0.1089805,319.1301,179.0118,225.0428,-0.06304693,0.9416956,0.171918,306.617,167.577,88.30602,,WindowPlace3,
2019-08-20T13:32:04.3563900,,,-0.1607108,1.667113,0.2292569,0.177173,144.4621,359.3882,-0.2424302,1.004018,-0.1085978,319.1388,179.2981,224.851,-0.06281519,0.9419752,0.1719873,306.7027,167.4775,88.30169,,WindowPlace3,
2019-08-20T13:32:04.3813270,,,-0.1615813,1.667427,0.2292748,0.2294993,144.7245,359.1956,-0.2426704,1.004929,-0.1085627,319.1391,179.6281,224.679,-0.06336224,0.9425751,0.1716488,306.8391,167.3385,88.3477,,WindowPlace3,
2019-08-20T13:32:04.4062650,,,-0.1629306,1.667266,0.2296558,0.2226647,145.1178,358.9105,-0.2426432,1.005585,-0.1087403,319.0446,179.686,224.6832,-0.06311071,0.9432069,0.1713603,306.8678,167.2817,88.4148,,WindowPlace3,
2019-08-20T13:32:04.4245220,,,-0.1637831,1.666836,0.2300768,0.1402529,145.3738,358.7452,-0.2431504,1.00554,-0.1089742,318.9474,179.6457,224.6211,-0.06344962,0.9429277,0.1710167,306.7105,167.3308,88.59263,,WindowPlace3,
2019-08-20T13:32:04.4502360,,,-0.1645131,1.666499,0.2306368,359.9775,145.6179,358.6227,-0.2440836,1.005369,-0.1095478,318.843,179.6337,224.6358,-0.06354904,0.9422576,0.170496,306.6829,167.3823,88.59957,,WindowPlace3,
2019-08-20T13:32:04.4756970,,,-0.1651192,1.666338,0.2311181,359.8317,145.8262,358.548,-0.2455229,1.004663,-0.1096931,318.7332,179.5983,224.5667,-0.06329286,0.9421067,0.1696252,306.6265,167.6275,88.54763,,WindowPlace3,
2019-08-20T13:32:04.5016370,,,-0.1657404,1.666491,0.2316298,359.7447,145.9814,358.4375,-0.2466597,1.00395,-0.1094132,318.5093,179.2366,224.6594,-0.06351089,0.9422473,0.1692289,306.5817,167.7501,88.58264,,WindowPlace3,
2019-08-20T13:32:04.5460440,,,-0.1661922,1.667141,0.2320615,359.6422,146.0732,358.3329,-0.2487147,1.003583,-0.1088333,318.472,179.1472,224.7153,-0.06392121,0.9443852,0.1695695,306.6581,167.9616,88.47302,,WindowPlace3,
2019-08-20T13:32:04.5719750,,,-0.1666543,1.667957,0.2327748,359.2952,146.1053,358.2387,-0.249114,1.003703,-0.1089477,318.4386,178.6491,225.235,-0.06465316,0.945236,0.169525,306.8458,168.9134,87.84038,,WindowPlace3,
2019-08-20T13:32:04.5909240,,,-0.1668617,1.668336,0.2337499,358.7201,145.9314,358.1454,-0.2493124,1.003972,-0.1093425,318.4885,178.7281,225.2559,-0.06559575,0.9455428,0.1695253,306.855,169.2853,87.62992,,WindowPlace3,
2019-08-20T13:32:04.6173940,,,-0.166899,1.668599,0.2341787,358.3852,145.7382,358.1086,-0.2494682,1.004212,-0.1094424,318.5314,178.8374,225.1818,-0.06632829,0.9462909,0.1706704,306.8087,169.4748,87.52873,,WindowPlace3,
2019-08-20T13:32:04.6453310,,,-0.1669879,1.66852,0.2347646,358.2135,145.446,358.1337,-0.2488801,1.004599,-0.1094683,318.5581,178.8844,225.0965,-0.06712127,0.9462947,0.1712643,306.6381,169.5478,87.50509,,WindowPlace3,
2019-08-20T13:32:04.6662700,,,-0.1670229,1.668117,0.2352345,358.3694,145.3739,358.1282,-0.2482325,1.005117,-0.1094558,318.6483,178.8279,224.9864,-0.06770158,0.946067,0.1716025,306.4602,168.9628,87.94674,,WindowPlace3,
2019-08-20T13:32:04.6866030,,,-0.1673191,1.667608,0.2358947,358.6598,145.4226,358.1683,-0.2476389,1.005515,-0.1094435,318.7191,178.7532,224.941,-0.06764865,0.9462018,0.1724693,306.3247,168.4171,88.36674,,WindowPlace3,
2019-08-20T13:32:04.7095430,,,-0.1677213,1.667147,0.2364651,358.8651,145.5097,358.2096,-0.2470845,1.00584,-0.1096196,318.7629,178.6738,224.8503,-0.06820035,0.9457945,0.172291,306.1906,168.0458,88.70842,,WindowPlace3,
2019-08-20T13:32:04.7355390,,,-0.1681331,1.667015,0.2372905,358.9119,145.5693,358.2572,-0.2469039,1.00604,-0.109154,318.7602,178.5956,224.811,-0.0675981,0.9460011,0.173512,306.1201,167.4834,89.18176,,WindowPlace3,
2019-08-20T13:32:04.7564830,,,-0.168407,1.667078,0.2378135,358.8618,145.6579,358.2925,-0.2466325,1.005809,-0.1087849,318.7368,178.5788,224.7876,-0.06705809,0.9458151,0.1731739,306.055,167.3366,89.29649,,WindowPlace3,
2019-08-20T13:32:04.7784240,,,-0.1684754,1.667347,0.2385445,358.7638,145.7006,358.35,-0.2464485,1.006042,-0.1084631,318.713,178.6313,224.7689,-0.06631422,0.94604,0.1730655,306.0678,167.1676,89.35587,,WindowPlace3,
2019-08-20T13:32:04.8018880,,,-0.1686909,1.667684,0.2391688,358.7001,145.6795,358.3261,-0.2462171,1.006142,-0.1084767,318.7178,178.7484,224.714,-0.06554818,0.9465652,0.1731918,306.0595,167.1414,89.29248,,WindowPlace3,
2019-08-20T13:32:04.8218330,,,-0.1687164,1.668072,0.2397692,358.6242,145.6305,358.3304,-0.245859,1.006453,-0.1085102,318.7436,178.809,224.6774,-0.06456065,0.9477133,0.1732988,306.1328,167.2749,89.00397,,WindowPlace3,
2019-08-20T13:32:04.8450190,,,-0.1688745,1.668046,0.2403062,358.5529,145.5469,358.3594,-0.2457123,1.006802,-0.1087683,318.8147,178.8983,224.6351,-0.06415534,0.9482633,0.1731419,306.1067,167.4475,88.8081,,WindowPlace3,
2019-08-20T13:32:04.8669630,,,-0.1689004,1.667391,0.2411677,358.4901,145.45,358.4223,-0.2454064,1.007042,-0.1085295,318.877,179.0032,224.5511,-0.06387103,0.9484897,0.1728137,306.0839,167.6272,88.59676,,WindowPlace3,
2019-08-20T13:32:04.8889010,,,-0.1690991,1.66682,0.2417286,358.4422,145.3808,358.5021,-0.2454551,1.007205,-0.1088023,318.9286,179.1437,224.4031,-0.0638119,0.9482946,0.1724907,306.0255,167.7891,88.42216,,WindowPlace3,
2019-08-20T13:32:04.9108430,,,-0.1692626,1.66642,0.2420606,358.2933,145.3814,358.6357,-0.2453998,1.007317,-0.1089616,318.9397,179.2354,224.2661,-0.0636735,0.947773,0.1722876,305.9792,167.9197,88.28882,,WindowPlace3,
2019-08-20T13:32:04.9318570,,,-0.1695035,1.666476,0.2423913,358.2771,145.4165,358.8666,-0.2459744,1.007553,-0.1087627,318.9265,179.2792,224.1817,-0.06360066,0.9471593,0.1722769,305.931,167.9684,88.26261,,WindowPlace3,
2019-08-20T13:32:04.9540450,,,-0.1694984,1.666571,0.2427037,358.3135,145.4626,359.0599,-0.2459978,1.007365,-0.1082313,318.8523,179.3467,223.9973,-0.06326246,0.9468625,0.1726086,305.83,168.0013,88.27663,,WindowPlace3,
2019-08-20T13:32:04.9767220,Average UMA_M7,,-0.169632,1.667403,0.2427734,358.4582,145.5894,359.1344,-0.2467694,1.007545,-0.1080632,318.7839,179.3391,224.0074,-0.063869,0.9462391,0.1725571,305.8788,167.8971,88.3726,start_trial,WindowPlace3,
2019-08-20T13:32:04.9966750,Average UMA_M7,,-0.1698643,1.66885,0.2427504,358.3997,145.806,359.2057,-0.2479823,1.008281,-0.1074202,318.7061,179.3485,224.0637,-0.06555033,0.9462036,0.1721715,305.9326,167.8574,88.46841,start_trial,WindowPlace3,
2019-08-20T13:32:05.0202260,Average UMA_M7,,-0.1698856,1.669745,0.2427744,358.1927,146.0326,359.1992,-0.2491873,1.009058,-0.1068925,318.6751,179.3451,224.1053,-0.06716788,0.9467981,0.1721629,306.0098,167.8487,88.50767,start_trial,WindowPlace3,
2019-08-20T13:32:05.0435070,Average UMA_M7,,-0.1696529,1.669707,0.2429607,357.9997,146.1476,359.1747,-0.2502046,1.009749,-0.1072576,318.6202,179.3069,224.2858,-0.06871331,0.9473984,0.1720664,306.1819,168.0107,88.46101,start_trial,WindowPlace3,
2019-08-20T13:32:05.0614610,Average UMA_M7,,-0.1694986,1.669309,0.2427656,357.817,146.2251,359.0818,-0.2510592,1.010194,-0.1085055,318.5706,179.2775,224.4656,-0.07010972,0.9482027,0.1722847,306.2487,168.1793,88.46678,start_trial,WindowPlace3,
2019-08-20T13:32:05.0883890,Average UMA_M7,,-0.1691515,1.668798,0.2428632,357.6994,146.2025,358.97,-0.2516668,1.010257,-0.1094436,318.5293,179.2374,224.5099,-0.07225966,0.9478933,0.1718511,306.1607,168.2526,88.5393,start_trial,WindowPlace3,
2019-08-20T13:32:05.1093320,Average UMA_M7,,-0.1689459,1.668375,0.2429533,357.6903,146.138,359.0095,-0.2520593,1.010126,-0.1103511,318.5052,179.1307,224.5218,-0.07337201,0.9478025,0.1720119,306.0611,168.2343,88.61488,start_trial,WindowPlace3,
2019-08-20T13:32:05.1406600,Average UMA_M7,,-0.1686656,1.667987,0.2434344,357.8276,146.0843,359.0396,-0.2525792,1.009248,-0.1101601,318.5544,178.8122,224.6208,-0.07367468,0.9479492,0.1725445,305.8161,168.0458,88.81176,start_trial,WindowPlace3,
2019-08-20T13:32:05.1626000,Average UMA_M7,,-0.1683575,1.667759,0.243828,358.0003,145.9922,359.0464,-0.2523935,1.008447,-0.1101258,318.7209,178.1686,224.9413,-0.07371485,0.947594,0.1722009,305.5294,167.7079,89.16671,start_trial,WindowPlace3,
2019-08-20T13:32:05.1845390,Average UMA_M7,,-0.1680074,1.667603,0.2444739,358.2069,145.7384,359.1892,-0.2521803,1.007885,-0.1098572,318.7883,177.7725,225.2428,-0.07328868,0.9475865,0.1722292,305.39,167.6233,89.25063,start_trial,WindowPlace3,
2019-08-20T13:32:05.2036170,Average UMA_M7,,-0.1680535,1.667573,0.2449582,358.2581,145.5274,359.3789,-0.2519187,1.007786,-0.1097726,318.9094,177.5741,225.4056,-0.07241869,0.9473253,0.1716488,305.3545,167.6394,89.19978,start_trial,WindowPlace3,
2019-08-20T13:32:05.2215380,Average UMA_M7,,-0.1678488,1.667521,0.245384,358.1485,145.2855,359.5925,-0.2516167,1.007812,-0.1097735,319.0344,177.5655,225.3989,-0.07137525,0.9470828,0.1710269,305.3511,167.7185,89.06416,start_trial,WindowPlace3,
2019-08-20T13:32:05.2453090,Average UMA_M7,,-0.1676629,1.667744,0.2455503,357.9572,145.0053,359.7909,-0.2508567,1.008162,-0.1096364,319.1671,177.6862,225.2519,-0.07033956,0.9466596,0.1705213,305.3061,167.9659,88.73888,start_trial,WindowPlace3,
2019-08-20T13:32:05.2672490,Average UMA_M7,,-0.1677189,1.668405,0.2454463,357.8265,144.8092,359.9882,-0.2500796,1.008788,-0.1092481,319.235,177.923,225.0105,-0.06956673,0.9459866,0.1706132,305.3542,168.2201,88.36697,start_trial,WindowPlace3,
