Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-14T15:26:51.2113340,,,-0.06403762,1.516831,0.1139449,3.44451,187.623,358.694,-0.190555,1.052977,-0.2049642,-1.516607E-21,0,0,-0.04681164,1.050222,-0.04098588,0,0,0,,UMA,
2019-08-14T15:26:53.7045760,,,-0.06408906,1.516807,0.1138937,3.457402,187.62,358.6959,-0.1925837,1.05048,-0.2051055,335.4929,199.6115,240.9561,-0.04383451,1.047749,-0.04062974,330.4465,198.2354,87.20771,,UMA,
2019-08-14T15:26:53.8607620,,,-0.0644182,1.518142,0.1160526,2.99461,187.5411,357.7041,-0.1920559,1.05018,-0.2051474,335.7733,199.4189,240.8537,-0.03439105,1.044454,-0.0390414,330.9843,198.3203,86.76408,,UMA,
2019-08-14T15:26:53.9021580,,,-0.06877536,1.518178,0.1139485,3.115772,187.7487,357.5851,-0.1914956,1.050342,-0.2052855,335.7179,199.4277,240.9068,-0.0335381,1.044494,-0.03913325,330.9575,198.2398,86.86972,,UMA,
2019-08-14T15:26:53.9310800,,,-0.06845462,1.518201,0.1135806,3.09038,187.7705,357.6527,-0.1917033,1.050221,-0.2052375,335.7039,199.4349,240.9148,-0.0332495,1.044215,-0.03907406,330.9744,198.2014,86.92807,,UMA,
2019-08-14T15:26:53.9500300,,,-0.06838024,1.518157,0.1135889,3.081675,187.7507,357.6586,-0.1920871,1.050305,-0.2051927,335.695,199.4615,240.9095,-0.03223884,1.043803,-0.03878814,330.9731,198.1911,86.94328,,UMA,
2019-08-14T15:26:53.9669850,,,-0.06819117,1.518256,0.1136664,3.056889,187.7729,357.6044,-0.1913135,1.050192,-0.2050857,335.6847,199.4743,240.9067,-0.03321242,1.044206,-0.03894275,330.9659,198.2002,86.94548,,UMA,
2019-08-14T15:26:53.9869320,,,-0.06815559,1.518276,0.1136816,3.064036,187.7648,357.5864,-0.1916009,1.050383,-0.2051082,335.6841,199.4704,240.9164,-0.03306746,1.044097,-0.03895712,330.9903,198.1728,86.95512,,UMA,
2019-08-14T15:26:54.0059140,,,-0.06806183,1.518231,0.1137589,3.053206,187.8086,357.6136,-0.1910182,1.050116,-0.205137,335.6817,199.4746,240.9133,-0.03282547,1.04389,-0.03881007,330.9549,198.199,86.94672,,UMA,
2019-08-14T15:26:54.0218380,,,-0.06796086,1.518232,0.1137673,3.034599,187.8174,357.6463,-0.1909653,1.05017,-0.2051686,335.6898,199.4702,240.9242,-0.03143239,1.043412,-0.03868085,331.0026,198.1337,86.98128,,UMA,
