Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-06T17:43:18.6493450,,,-0.200156,1.720838,-0.1342834,1.85598,169.0487,2.243924,-1.408,0,0.387,-1.516607E-21,0,0,-1.408,0,0.387,0,0,0,,UMA,
2019-08-06T17:43:19.0100590,,,-0.200156,1.720838,-0.1342834,1.85598,169.0487,2.243924,-1.408,0,0.387,-1.516607E-21,0,0,-0.004666924,0.9549704,-0.1716805,0,0,0,,UMA,
2019-08-06T17:43:21.7653510,,,-0.2002159,1.720837,-0.13424,1.855372,169.062,2.23333,-1.408,0,0.387,-1.516607E-21,0,0,-0.00367856,0.9560704,-0.1700672,0,0,0,,UMA,
2019-08-06T17:43:21.9239230,,,-0.1957822,1.720381,-0.1318778,3.040544,167.7704,2.370973,-1.408,0,0.387,-1.516607E-21,0,0,-0.003445983,0.9562909,-0.1694098,0,0,0,,UMA,
2019-08-06T17:43:21.9987220,,,-0.1952751,1.720549,-0.1313363,2.964951,167.8787,2.470247,-1.408,0,0.387,-1.516607E-21,0,0,-0.003571272,0.9561018,-0.1695201,0,0,0,,UMA,
2019-08-06T17:43:22.0473810,Strong,,-0.1950251,1.720524,-0.131087,3.015599,167.8937,2.514559,-1.408,0,0.387,-1.516607E-21,0,0,-0.003572941,0.9559644,-0.1698527,0,0,0,start_trial,UMA,
2019-08-06T17:43:22.0893090,Strong,,-0.1948252,1.720536,-0.1310363,3.025025,167.8387,2.551217,-1.408,0,0.387,-1.516607E-21,0,0,-0.003840208,0.9557951,-0.1701045,0,0,0,start_trial,UMA,
2019-08-06T17:43:22.1274790,Strong,,-0.1949909,1.720333,-0.1308087,3.007213,167.8623,2.546968,-1.408,0,0.387,-1.516607E-21,0,0,-0.003779888,0.9554954,-0.1701185,0,0,0,start_trial,UMA,
2019-08-06T17:43:22.1494200,Strong,,-0.1948643,1.720291,-0.1306641,2.990045,167.8974,2.538562,-1.408,0,0.387,-1.516607E-21,0,0,-0.003940225,0.9556026,-0.1702228,0,0,0,start_trial,UMA,
2019-08-06T17:43:22.1655080,Strong,,-0.1947567,1.720418,-0.1307773,2.98058,167.9305,2.525327,-1.408,0,0.387,-1.516607E-21,0,0,-0.003744602,0.9557641,-0.1699851,0,0,0,start_trial,UMA,
