Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-06T16:06:13.5854740,,,-0.7965727,0.6520574,-0.5756779,353.4818,101.4137,0.08082953,-1.408,0,0.387,-1.516607E-21,0,0,-1.408,0,0.387,0,0,0,,Glass (3),
2019-08-06T16:06:13.8038910,,,-0.7965727,0.6520574,-0.5756779,353.4818,101.4137,0.08082953,-1.408,0,0.387,-1.516607E-21,0,0,-1.223836,0.7463761,-1.238427,0,0,0,,Glass (3),
2019-08-06T16:06:15.9209330,,,-0.7965755,0.6520578,-0.5756689,353.4839,101.413,0.08039524,-1.408,0,0.387,-1.516607E-21,0,0,-1.2237,0.7460907,-1.236627,46.73403,152.3957,3.136915,,Glass (3),
2019-08-06T16:06:16.0103430,,,-0.7967812,0.6520278,-0.5754843,353.4663,101.3996,0.1104087,-1.408,0,0.387,-1.516607E-21,0,0,-1.223829,0.7459756,-1.236525,46.64922,152.2172,2.794273,,Glass (3),
2019-08-06T16:06:16.0342650,,,-0.7968082,0.6521697,-0.5758264,353.4792,101.3691,0.1047759,-1.408,0,0.387,-1.516607E-21,0,0,-1.223794,0.7460341,-1.236801,46.65823,152.204,2.774851,,Glass (3),
2019-08-06T16:06:16.0542120,,,-0.7970156,0.651945,-0.5759288,353.4824,101.3659,0.1110209,-1.408,0,0.387,-1.516607E-21,0,0,-1.223666,0.7459046,-1.23678,46.65702,152.2139,2.784294,,Glass (3),
2019-08-06T16:06:16.0691730,,,-0.7970299,0.6518595,-0.5759665,353.4864,101.3707,0.109383,-1.408,0,0.387,-1.516607E-21,0,0,-1.223612,0.7459774,-1.236772,46.65881,152.2309,2.792055,,Glass (3),
2019-08-06T16:06:16.0851290,,,-0.7970467,0.6518953,-0.5758662,353.4926,101.3663,0.1209065,-1.408,0,0.387,-1.516607E-21,0,0,-1.22379,0.7459133,-1.236643,46.65583,152.2238,2.793728,,Glass (3),
2019-08-06T16:06:16.1330020,,,-0.7970479,0.6518881,-0.5757678,353.4846,101.3594,0.1207438,-1.408,0,0.387,-1.516607E-21,0,0,-1.223436,0.7461809,-1.236627,46.64982,152.2122,2.789556,,Glass (3),
2019-08-06T16:06:16.1519500,,,-0.7968332,0.6520085,-0.5757742,353.4899,101.3599,0.1335114,-1.408,0,0.387,-1.516607E-21,0,0,-1.223459,0.7461057,-1.236503,46.66553,152.2029,2.777112,,Glass (3),
2019-08-06T16:06:16.1679080,,,-0.7968091,0.6520268,-0.5757208,353.4953,101.366,0.1294976,-1.408,0,0.387,-1.516607E-21,0,0,-1.223479,0.7461063,-1.236498,46.66975,152.1974,2.773521,,Glass (3),
2019-08-06T16:06:16.1858670,Weak,,-0.796779,0.652047,-0.5757041,353.4895,101.3621,0.1376491,-1.408,0,0.387,-1.516607E-21,0,0,-1.223491,0.7461438,-1.236466,46.6667,152.1931,2.767673,start_trial,Glass (3),
2019-08-06T16:06:16.2008200,Weak,,-0.7967408,0.6520619,-0.5757084,353.4927,101.3626,0.1329171,-1.408,0,0.387,-1.516607E-21,0,0,-1.223539,0.7461848,-1.236416,46.6601,152.1865,2.768221,start_trial,Glass (3),
2019-08-06T16:06:16.2187720,Weak,,-0.7967383,0.6521255,-0.5756687,353.5044,101.3656,0.1354545,-1.408,0,0.387,-1.516607E-21,0,0,-1.223533,0.7462036,-1.236394,46.65646,152.187,2.767095,start_trial,Glass (3),
2019-08-06T16:06:16.2327350,Weak,,-0.796712,0.6521223,-0.5755739,353.4965,101.3719,0.1327399,-1.408,0,0.387,-1.516607E-21,0,0,-1.223521,0.7462186,-1.23629,46.65352,152.1799,2.768771,start_trial,Glass (3),
2019-08-06T16:06:16.2457000,Weak,,-0.7966816,0.6521412,-0.5755569,353.4949,101.3644,0.1382796,-1.408,0,0.387,-1.516607E-21,0,0,-1.223741,0.7461423,-1.236162,46.65842,152.1667,2.767985,start_trial,Glass (3),
2019-08-06T16:06:16.2626540,Weak,,-0.7967913,0.6520525,-0.5754213,353.4841,101.3737,0.1444573,-1.408,0,0.387,-1.516607E-21,0,0,-1.22372,0.745975,-1.236204,46.65477,152.1673,2.766861,start_trial,Glass (3),
2019-08-06T16:06:16.2746230,Weak,,-0.7967746,0.6521035,-0.5753688,353.494,101.3718,0.1423756,-1.408,0,0.387,-1.516607E-21,0,0,-1.22366,0.7460436,-1.236093,46.65363,152.1454,2.754376,start_trial,Glass (3),
2019-08-06T16:06:16.2865900,Weak,,-0.7968917,0.6520941,-0.5753138,353.4864,101.3688,0.147075,-1.408,0,0.387,-1.516607E-21,0,0,-1.223639,0.7460511,-1.236039,46.65483,152.1355,2.744936,start_trial,Glass (3),
2019-08-06T16:06:16.2995560,Weak,,-0.7969195,0.6520594,-0.575416,353.4875,101.3705,0.1394622,-1.408,0,0.387,-1.516607E-21,0,0,-1.223733,0.7459835,-1.236324,46.65543,152.1306,2.740216,start_trial,Glass (3),
2019-08-06T16:06:16.3115250,Weak,,-0.7969754,0.6519854,-0.5754601,353.4837,101.3662,0.1414578,-1.408,0,0.387,-1.516607E-21,0,0,-1.22376,0.7459302,-1.236295,46.65603,152.1257,2.735493,start_trial,Glass (3),
2019-08-06T16:06:16.3404460,Weak,,-0.7970104,0.652013,-0.5755097,353.4825,101.3623,0.1420291,-1.408,0,0.387,-1.516607E-21,0,0,-1.223809,0.7461039,-1.236329,46.65966,152.1251,2.736617,start_trial,Glass (3),
2019-08-06T16:06:16.3564050,Weak,,-0.7968419,0.6521169,-0.5755888,353.4913,101.382,0.1366933,-1.408,0,0.387,-1.516607E-21,0,0,-1.223497,0.7462598,-1.236467,46.65603,152.1257,2.735493,start_trial,Glass (3),
2019-08-06T16:06:16.3693700,Weak,,-0.7968359,0.6521151,-0.5755724,353.4864,101.3787,0.1317606,-1.408,0,0.387,-1.516607E-21,0,0,-1.22349,0.7462606,-1.236457,46.65603,152.1257,2.735493,start_trial,Glass (3),
2019-08-06T16:06:16.3863240,Weak,,-0.7966503,0.6521935,-0.5756118,353.5,101.3788,0.1320561,-1.408,0,0.387,-1.516607E-21,0,0,-1.223149,0.7462661,-1.236538,46.65234,152.1289,2.726851,start_trial,Glass (3),
2019-08-06T16:06:16.3992900,Weak,,-0.7966238,0.6521872,-0.5755961,353.4978,101.3834,0.1345602,-1.408,0,0.387,-1.516607E-21,0,0,-1.223097,0.746296,-1.236471,46.64932,152.1245,2.721005,start_trial,Glass (3),
2019-08-06T16:06:16.4102600,Weak,,-0.796762,0.6521252,-0.575597,353.4969,101.3765,0.1351641,-1.408,0,0.387,-1.516607E-21,0,0,-1.223213,0.7461196,-1.236596,46.64566,152.1251,2.719876,start_trial,Glass (3),
2019-08-06T16:06:16.4212310,Weak,,-0.7967239,0.652038,-0.5755471,353.4796,101.3816,0.1357622,-1.408,0,0.387,-1.516607E-21,0,0,-1.22357,0.7461339,-1.236389,46.64566,152.1251,2.719876,start_trial,Glass (3),
2019-08-06T16:06:16.4322020,Weak,,-0.7967364,0.6520506,-0.5755299,353.4897,101.3824,0.1403826,-1.408,0,0.387,-1.516607E-21,0,0,-1.223474,0.7459456,-1.236267,46.64264,152.1207,2.714034,start_trial,Glass (3),
2019-08-06T16:06:16.4521480,Weak,,-0.7965935,0.6519591,-0.5754083,353.4953,101.3666,0.1444092,-1.408,0,0.387,-1.516607E-21,0,0,-1.223411,0.7459869,-1.236181,46.63966,152.1136,2.715713,start_trial,Glass (3),
2019-08-06T16:06:16.4641160,Weak,,-0.7965771,0.6519093,-0.5754586,353.4935,101.3782,0.1351393,-1.408,0,0.387,-1.516607E-21,0,0,-1.223362,0.7457425,-1.23628,46.63362,152.1049,2.704032,start_trial,Glass (3),
2019-08-06T16:06:16.4830650,Weak,,-0.7964861,0.651848,-0.5755486,353.5017,101.3762,0.1379033,-1.408,0,0.387,-1.516607E-21,0,0,-1.223294,0.7459496,-1.236558,46.63121,152.0928,2.700996,start_trial,Glass (3),
2019-08-06T16:06:16.4980260,Weak,,-0.7965566,0.6519759,-0.5756339,353.5036,101.3802,0.1263361,-1.408,0,0.387,-1.516607E-21,0,0,-1.223298,0.7459457,-1.236584,46.63179,152.0906,2.688751,start_trial,Glass (3),
2019-08-06T16:06:16.5149800,Weak,,-0.796633,0.6519402,-0.575528,353.486,101.3845,0.1307729,-1.408,0,0.387,-1.516607E-21,0,0,-1.223621,0.7459815,-1.236321,46.63179,152.0906,2.688751,start_trial,Glass (3),
2019-08-06T16:06:16.5309390,Weak,,-0.7966594,0.6520197,-0.575478,353.4845,101.3816,0.131855,-1.408,0,0.387,-1.516607E-21,0,0,-1.223611,0.7460023,-1.236138,46.63239,152.0857,2.684033,start_trial,Glass (3),
2019-08-06T16:06:16.5429130,Weak,,-0.7965995,0.6519804,-0.575559,353.488,101.3747,0.1289988,-1.408,0,0.387,-1.516607E-21,0,0,-1.223671,0.7459556,-1.236114,46.62273,152.0748,2.678754,start_trial,Glass (3),
2019-08-06T16:06:16.5548740,Weak,,-0.7965626,0.651944,-0.5755326,353.4868,101.3836,0.1339683,-1.408,0,0.387,-1.516607E-21,0,0,-1.223322,0.7458464,-1.236214,46.61969,152.0704,2.672913,start_trial,Glass (3),
2019-08-06T16:06:16.5658480,Weak,,-0.7965525,0.6519517,-0.5755111,353.4861,101.3782,0.1407428,-1.408,0,0.387,-1.516607E-21,0,0,-1.223315,0.7458351,-1.236154,46.61666,152.0661,2.667078,start_trial,Glass (3),
2019-08-06T16:06:16.5778140,Weak,,-0.7966889,0.6519208,-0.575434,353.4881,101.3772,0.1373513,-1.408,0,0.387,-1.516607E-21,0,0,-1.223354,0.7457762,-1.236152,46.61726,152.0611,2.662363,start_trial,Glass (3),
2019-08-06T16:06:16.5887830,Weak,,-0.7967167,0.6519479,-0.5754435,353.4812,101.3787,0.1432392,-1.408,0,0.387,-1.516607E-21,0,0,-1.223594,0.7457908,-1.236006,46.61421,152.0568,2.656521,start_trial,Glass (3),
2019-08-06T16:06:16.6007510,Weak,,-0.7967181,0.6519636,-0.5754063,353.4867,101.3842,0.1341658,-1.408,0,0.387,-1.516607E-21,0,0,-1.223639,0.7457955,-1.236016,46.61905,152.0464,2.648204,start_trial,Glass (3),
2019-08-06T16:06:16.6127200,Weak,,-0.7966542,0.6519948,-0.5753772,353.4877,101.3783,0.1353954,-1.408,0,0.387,-1.516607E-21,0,0,-1.223502,0.7459829,-1.235986,46.61601,152.042,2.642369,start_trial,Glass (3),
2019-08-06T16:06:16.6326660,Weak,,-0.7967247,0.652043,-0.5754832,353.4823,101.3903,0.1339807,-1.408,0,0.387,-1.516607E-21,0,0,-1.223587,0.7459548,-1.236153,46.61305,152.0349,2.644056,start_trial,Glass (3),
2019-08-06T16:06:16.6476260,Weak,,-0.7966185,0.6521175,-0.5754615,353.48,101.372,0.141062,-1.408,0,0.387,-1.516607E-21,0,0,-1.2233,0.7460452,-1.236181,46.60882,152.0087,2.625752,start_trial,Glass (3),
2019-08-06T16:06:16.6625860,Weak,,-0.7965862,0.6520719,-0.5754175,353.4825,101.3745,0.1357177,-1.408,0,0.387,-1.516607E-21,0,0,-1.223273,0.7460479,-1.236085,46.60882,152.0087,2.625752,start_trial,Glass (3),
2019-08-06T16:06:16.6805380,Weak,,-0.7965147,0.6521276,-0.5753309,353.4879,101.3742,0.133634,-1.408,0,0.387,-1.516607E-21,0,0,-1.223285,0.7461455,-1.236015,46.63056,152.008,2.624921,start_trial,Glass (3),
2019-08-06T16:06:16.6905110,Weak,,-0.7965785,0.6522436,-0.5753758,353.4893,101.3856,0.1307903,-1.408,0,0.387,-1.516607E-21,0,0,-1.223359,0.746147,-1.236211,46.63056,152.008,2.624921,start_trial,Glass (3),
2019-08-06T16:06:16.7034760,Weak,,-0.7965856,0.6522319,-0.5754323,353.4917,101.388,0.1241904,-1.408,0,0.387,-1.516607E-21,0,0,-1.223494,0.7460286,-1.236271,46.62386,152.0042,2.61797,start_trial,Glass (3),
2019-08-06T16:06:16.7204330,Weak,,-0.7966984,0.6520764,-0.5754733,353.4849,101.3813,0.1255968,-1.408,0,0.387,-1.516607E-21,0,0,-1.223421,0.7458466,-1.236091,46.60088,151.9857,2.598809,start_trial,Glass (3),
2019-08-06T16:06:16.7333980,Weak,,-0.7966763,0.6520926,-0.5754137,353.4897,101.386,0.1316203,-1.408,0,0.387,-1.516607E-21,0,0,-1.223409,0.7458501,-1.235974,46.5942,151.9819,2.591862,start_trial,Glass (3),
2019-08-06T16:06:16.7443680,Weak,,-0.7966677,0.6520783,-0.5754244,353.4915,101.3815,0.1345127,-1.408,0,0.387,-1.516607E-21,0,0,-1.223279,0.7458362,-1.235964,46.59057,151.9825,2.590747,start_trial,Glass (3),
2019-08-06T16:06:16.7553380,Weak,,-0.7967219,0.6521635,-0.5754892,353.4827,101.3769,0.1407295,-1.408,0,0.387,-1.516607E-21,0,0,-1.223445,0.746114,-1.236133,46.59361,151.9869,2.596585,start_trial,Glass (3),
2019-08-06T16:06:16.7673060,Weak,,-0.7967607,0.6520947,-0.5756193,353.4777,101.3905,0.1244336,-1.408,0,0.387,-1.516607E-21,0,0,-1.22347,0.7460757,-1.236274,46.59659,151.994,2.594889,start_trial,Glass (3),
2019-08-06T16:06:16.7802710,Weak,,-0.7967337,0.6521228,-0.5756637,353.4894,101.3769,0.1225365,-1.408,0,0.387,-1.516607E-21,0,0,-1.223423,0.746096,-1.236244,46.59659,151.994,2.594889,start_trial,Glass (3),
2019-08-06T16:06:16.7922400,Weak,,-0.7966813,0.6520349,-0.575621,353.4842,101.3798,0.1330766,-1.408,0,0.387,-1.516607E-21,0,0,-1.223331,0.7458127,-1.236224,46.59361,151.9869,2.596585,start_trial,Glass (3),
2019-08-06T16:06:16.8151780,Weak,,-0.7967986,0.6520176,-0.5756575,353.4846,101.3895,0.1343302,-1.408,0,0.387,-1.516607E-21,0,0,-1.223682,0.745831,-1.235956,46.58999,151.9874,2.595466,start_trial,Glass (3),
2019-08-06T16:06:16.8311350,Weak,,-0.7967964,0.6519973,-0.5756717,353.4742,101.3884,0.1251879,-1.408,0,0.387,-1.516607E-21,0,0,-1.223801,0.7457579,-1.236222,46.58572,151.9957,2.591549,start_trial,Glass (3),
2019-08-06T16:06:16.8490870,Weak,,-0.7967888,0.6520181,-0.5757328,353.489,101.3817,0.1251247,-1.408,0,0.387,-1.516607E-21,0,0,-1.223651,0.7460247,-1.236251,46.58929,151.9978,2.585136,start_trial,Glass (3),
2019-08-06T16:06:16.8730240,Weak,,-0.7967748,0.6520938,-0.5756232,353.4868,101.386,0.1270452,-1.408,0,0.387,-1.516607E-21,0,0,-1.223309,0.7460347,-1.236245,46.59349,151.9923,2.581534,start_trial,Glass (3),
2019-08-06T16:06:16.8879830,Weak,,-0.7967114,0.6520839,-0.5757295,353.4838,101.3882,0.1261585,-1.408,0,0.387,-1.516607E-21,0,0,-1.223334,0.7461337,-1.236307,46.59044,151.988,2.575699,start_trial,Glass (3),
2019-08-06T16:06:16.8999510,Weak,,-0.7967293,0.6520442,-0.5757526,353.4867,101.3849,0.1255279,-1.408,0,0.387,-1.516607E-21,0,0,-1.223318,0.7461516,-1.236316,46.58442,151.9766,2.571565,start_trial,Glass (3),
2019-08-06T16:06:16.9129170,Weak,,-0.796706,0.6520488,-0.5757848,353.492,101.3806,0.1289969,-1.408,0,0.387,-1.516607E-21,0,0,-1.223321,0.7460456,-1.236502,46.58079,151.9771,2.57045,start_trial,Glass (3),
2019-08-06T16:06:16.9338620,Weak,,-0.7966157,0.6519392,-0.5756118,353.4801,101.3873,0.1403992,-1.408,0,0.387,-1.516607E-21,0,0,-1.223109,0.7457776,-1.236212,46.58079,151.9771,2.57045,start_trial,Glass (3),
2019-08-06T16:06:16.9558020,Weak,,-0.796524,0.6520964,-0.5755373,353.4685,101.3993,0.1331274,-1.408,0,0.387,-1.516607E-21,0,0,-1.223043,0.7460465,-1.236081,46.58448,151.9738,2.57908,start_trial,Glass (3),
2019-08-06T16:06:16.9807370,Weak,,-0.796636,0.6521079,-0.5753907,353.477,101.4013,0.1514621,-1.408,0,0.387,-1.516607E-21,0,0,-1.22303,0.7459815,-1.235987,46.59235,151.9677,2.576597,start_trial,Glass (3),
2019-08-06T16:06:17.0036740,Weak,,-0.7966005,0.6520197,-0.5754101,353.492,101.3989,0.1283651,-1.408,0,0.387,-1.516607E-21,0,0,-1.22332,0.745858,-1.235974,46.59663,151.9595,2.580516,start_trial,Glass (3),
2019-08-06T16:06:17.0236210,Weak,,-0.7965775,0.6521795,-0.5754323,353.493,101.3896,0.1452789,-1.408,0,0.387,-1.516607E-21,0,0,-1.223351,0.7462454,-1.235906,46.6002,151.9617,2.574099,start_trial,Glass (3),
2019-08-06T16:06:17.0455620,Weak,,-0.7966029,0.6521177,-0.5755634,353.4937,101.3969,0.1301466,-1.408,0,0.387,-1.516607E-21,0,0,-1.22348,0.7461995,-1.236124,46.60685,151.9682,2.573523,start_trial,Glass (3),
2019-08-06T16:06:17.0665110,Weak,,-0.7965682,0.6521994,-0.5755318,353.4821,101.395,0.1334636,-1.408,0,0.387,-1.516607E-21,0,0,-1.223424,0.746253,-1.236154,46.60564,151.978,2.582963,start_trial,Glass (3),
2019-08-06T16:06:17.0924410,Weak,,-0.7966388,0.6522548,-0.5755339,353.4835,101.399,0.1382839,-1.408,0,0.387,-1.516607E-21,0,0,-1.22338,0.7463948,-1.23608,46.6038,151.9955,2.589595,start_trial,Glass (3),
2019-08-06T16:06:17.1133810,Weak,,-0.7967677,0.6522282,-0.5754908,353.4803,101.3751,0.133709,-1.408,0,0.387,-1.516607E-21,0,0,-1.223517,0.7462839,-1.235904,46.6171,152.0059,2.59597,start_trial,Glass (3),
2019-08-06T16:06:17.1383980,Weak,,-0.7967955,0.6520804,-0.5753803,353.463,101.3745,0.145462,-1.408,0,0.387,-1.516607E-21,0,0,-1.223579,0.7461154,-1.235594,46.62007,152.0129,2.594283,start_trial,Glass (3),
2019-08-06T16:06:17.1613300,Weak,,-0.7966696,0.6519752,-0.5752705,353.4762,101.384,0.1534911,-1.408,0,0.387,-1.516607E-21,0,0,-1.223053,0.746013,-1.235644,46.63036,152.0162,2.60235,start_trial,Glass (3),
2019-08-06T16:06:17.1812760,Weak,,-0.7966298,0.6519632,-0.5752988,353.4891,101.3811,0.1328128,-1.408,0,0.387,-1.516607E-21,0,0,-1.222995,0.7458215,-1.235785,46.63275,152.0282,2.605383,start_trial,Glass (3),
2019-08-06T16:06:17.2052130,Weak,,-0.7966871,0.6519355,-0.5754501,353.4915,101.3717,0.1267984,-1.408,0,0.387,-1.516607E-21,0,0,-1.223167,0.7459906,-1.236149,46.63279,152.0255,2.612906,start_trial,Glass (3),
