Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-06T16:01:05.7492140,,,-1.408,0,0.387,0,0,0,-1.408,0,0.387,-1.516607E-21,0,0,-1.408,0,0.387,0,0,0,,BehindWallPlane,
2019-08-06T16:01:05.9407020,,,-1.408,0,0.387,0,0,0,-1.408,0,0.387,-1.516607E-21,0,0,-1.268982,1.159377,-0.8646353,0,0,0,,BehindWallPlane,
2019-08-06T16:01:07.1165610,,,-1.408,0,0.387,0,0,0,-1.408,0,0.387,-1.516607E-21,0,0,-1.283432,1.158223,-0.857759,286.463,243.2914,316.868,,BehindWallPlane,
2019-08-06T16:01:07.2043260,,,-1.231424,1.299206,-0.8800602,47.45021,142.3322,3.465035,-1.408,0,0.387,-1.516607E-21,0,0,-1.274939,1.158284,-0.8647257,283.173,234.4944,325.1913,,UMA,
2019-08-06T16:01:07.2262680,,,-1.220529,1.297869,-0.8866719,47.27222,143.8416,5.75903,-1.408,0,0.387,-1.516607E-21,0,0,-1.274068,1.158753,-0.8654932,283.4601,236.4821,323.4948,,UMA,
2019-08-06T16:01:07.2442190,,,-1.221805,1.29871,-0.8900335,47.00468,143.475,4.709023,-1.408,0,0.387,-1.516607E-21,0,0,-1.273757,1.159011,-0.865979,283.6224,236.8337,323.2245,,UMA,
2019-08-06T16:01:07.2561860,,,-1.222106,1.298821,-0.8906642,46.97253,143.3771,4.522565,-1.408,0,0.387,-1.516607E-21,0,0,-1.273496,1.159218,-0.8660977,283.8122,237.1451,323.0005,,UMA,
2019-08-06T16:01:07.2711480,,,-1.222119,1.299364,-0.8908356,46.91525,143.1841,4.155429,-1.408,0,0.387,-1.516607E-21,0,0,-1.273321,1.15933,-0.8663008,283.9305,237.3164,322.8774,,UMA,
2019-08-06T16:01:07.2821220,,,-1.222399,1.299461,-0.8913933,46.89102,143.0809,3.959493,-1.408,0,0.387,-1.516607E-21,0,0,-1.273152,1.159363,-0.8665044,284.0271,237.3838,322.8534,,UMA,
2019-08-06T16:01:07.2940920,,,-1.222604,1.299616,-0.891816,46.89199,142.9442,3.743694,-1.408,0,0.387,-1.516607E-21,0,0,-1.272988,1.159556,-0.866498,284.133,237.4495,322.8336,,UMA,
2019-08-06T16:01:07.3060540,,,-1.222973,1.299721,-0.8923331,46.90206,142.8463,3.54519,-1.408,0,0.387,-1.516607E-21,0,0,-1.272926,1.159671,-0.8666291,284.258,237.5786,322.7534,,UMA,
